,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency).1,"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,Population 25 to 34 years,High school graduate or higher,Bachelor's degree or higher,Population 35 to 44 years,High school graduate or higher.1,Bachelor's degree or higher.1,Population 45 to 64 years,High school graduate or higher.2,Bachelor's degree or higher.2,Population 65 years and over,High school graduate or higher.3,Bachelor's degree or higher.3,White alone,White alone High school graduate or higher,White alone Bachelor's degree or higher,"White alone, not Hispanic or Latino","White alone, not Hispanic or Latino High school graduate or higher","White alone, not Hispanic or Latino Bachelor's degree or higher",Black alone,Black alone High school graduate or higher,Black alone Bachelor's degree or higher,American Indian or Alaska Native alone,American Indian or Alaska Native alone High school graduate or higher,American Indian or Alaska Native alone Bachelor's degree or higher,Asian alone,Asian alone High school graduate or higher,Asian alone Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone  High school graduate or higher,Native Hawaiian and Other Pacific Islander alone Bachelor's degree or higher,Some other race alone,Some other race alone High school graduate or higher,Some other race alone Bachelor's degree or higher,Two or more races,Two or more races High school graduate or higher,Two or more races Bachelor's degree or higher,Hispanic or Latino Origin,Hispanic or Latino Origin High school graduate or higher,Hispanic or Latino Origin Bachelor's degree or higher,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher.4,Population 25 years and over with earnings,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree,Graduate or professional degree
8988,"James City County, Virginia!!Total!!Estimate","4,606",591,"1,104","2,486",425,"53,615","1,347","1,619","9,493","11,485","4,352","14,374","10,945",,,"8,063","7,893","3,044","7,468","7,182","3,605","20,674","19,362","9,664","17,410","16,212","9,006","43,637","41,780","22,559","42,165","40,732","22,387","6,779","5,897","1,514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"39,049","19,189","24,034","35,350","49,232","66,250"
8992,"James City County, Virginia!!Males!!Estimate","2,663",307,782,"1,435",139,"24,953",742,"1,016","3,377","4,731","1,780","7,058","6,249",,,"4,145","4,075","1,875","3,083","2,991","1,506","9,497","8,555","4,705","8,228","7,574","5,221","20,653","19,540","12,113","19,949","19,160","12,024","3,008","2,442",432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"50,162","19,291","27,945","39,997","64,069","85,612"
8996,"James City County, Virginia!!Females!!Estimate","1,943",284,322,"1,051",286,"28,662",605,603,"6,116","6,754","2,572","7,316","4,696",,,"3,918","3,818","1,169","4,385","4,191","2,099","11,177","10,807","4,959","9,182","8,638","3,785","22,984","22,240","10,446","22,216","21,572","10,363","3,771","3,455","1,082",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"27,363",-,"23,093","29,530","30,556","50,211"
9000,"Loudoun County, Virginia!!Total!!Estimate","26,999","3,669","8,265","10,744","4,321","239,384","7,142","7,655","32,460","34,709","13,358","87,085","56,975",,,"46,972","44,461","26,166","65,685","62,193","47,737","95,642","90,954","57,125","31,085","26,979","13,032","161,976","154,474","95,640","142,693","138,723","88,377","18,702","17,324","9,595",0,0,0,"42,356","39,788","31,599",0,0,0,"6,970","4,458","2,149","8,543","7,737","4,538","28,920","22,227","10,189",,,,,"65,875","27,798","35,476","47,403","81,112","101,011"
9004,"Loudoun County, Virginia!!Males!!Estimate","14,030","2,102","4,619","5,811","1,498","116,705","3,768","3,582","14,951","16,423","5,021","42,048","30,912",,,"22,535","21,395","11,537","32,440","30,495","23,430","47,934","45,482","30,484","13,796","11,983","7,509","78,846","75,085","48,545","69,989","67,688","44,976","9,062","8,431","5,186",0,0,0,"20,022","19,079","16,115",0,0,0,"4,242","2,428",855,"4,037","3,836","1,931","14,381","11,044","4,995",,,,,"85,188","34,099","37,539","62,187","100,065","121,861"
9008,"Loudoun County, Virginia!!Females!!Estimate","12,969","1,567","3,646","4,933","2,823","122,679","3,374","4,073","17,509","18,286","8,337","45,037","26,063",,,"24,437","23,066","14,629","33,245","31,698","24,307","47,708","45,472","26,641","17,289","14,996","5,523","83,130","79,389","47,095","72,704","71,035","43,401","9,640","8,893","4,409",0,0,0,"22,334","20,709","15,484",0,0,0,"2,728","2,030","1,294","4,506","3,901","2,607","14,539","11,183","5,194",,,,,"50,999","24,485","31,476","37,414","61,897","66,905"
9012,"Montgomery County, Virginia!!Total!!Estimate","26,827",505,"3,169","19,168","3,985","55,195","1,550","2,768","11,579","9,040","3,917","14,104","12,237",,,"15,152","14,877","9,457","10,232","9,354","5,187","19,199","17,233","8,027","10,612","9,413","3,670","48,422","44,692","21,613","47,633","43,975","21,133","2,222","1,734",857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"36,299","20,179","23,503","31,599","41,129","55,990"
9016,"Montgomery County, Virginia!!Males!!Estimate","14,835",271,"2,045","10,264","2,255","27,270",689,"1,572","5,715","3,910","1,775","7,396","6,213",,,"8,276","8,001","5,085","5,072","4,506","2,761","9,348","8,232","3,872","4,574","4,270","1,891","23,849","22,085","11,152","23,453","21,737","10,957","1,208",811,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"41,958","19,962","28,660","39,400","51,217","66,448"
9020,"Montgomery County, Virginia!!Females!!Estimate","11,992",234,"1,124","8,904","1,730","27,925",861,"1,196","5,864","5,130","2,142","6,708","6,024",,,"6,876","6,876","4,372","5,160","4,848","2,426","9,851","9,001","4,155","6,038","5,143","1,779","24,573","22,607","10,461","24,180","22,238","10,176","1,014",923,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"32,028","20,244","21,592","30,402","32,474","45,890"
9024,"Prince William County, Virginia!!Total!!Estimate","39,945","4,208","13,976","18,020","3,741","286,217","17,339","19,153","58,152","57,290","20,718","68,574","44,991",,,"63,967","55,420","24,044","69,340","59,944","28,110","113,648","100,274","46,856","39,262","34,087","14,555","169,200","152,636","72,958","139,036","133,567","68,170","59,902","56,080","23,655",0,0,0,"25,252","21,409","10,481",0,0,0,"20,328","9,597","1,956","10,137","8,791","4,413","55,616","32,858","8,455",,,,,"49,793","25,977","31,737","43,167","67,506","89,514"
9028,"Prince William County, Virginia!!Males!!Estimate","20,967","2,333","8,748","8,941",945,"140,412","8,081","11,938","26,598","29,006","8,133","32,237","24,419",,,"32,271","27,356","10,447","34,330","29,357","13,918","56,354","48,198","24,145","17,457","15,482","8,146","83,990","75,263","38,103","68,735","66,048","35,944","28,092","25,379","10,537",0,0,0,"11,257","9,985","5,143",0,0,0,"11,061","4,917",887,"5,272","4,240","1,884","28,908","15,880","4,036",,,,,"56,400","31,290","38,892","50,825","84,045","101,293"
9032,"Prince William County, Virginia!!Females!!Estimate","18,978","1,875","5,228","9,079","2,796","145,805","9,258","7,215","31,554","28,284","12,585","36,337","20,572",,,"31,696","28,064","13,597","35,010","30,587","14,192","57,294","52,076","22,711","21,805","18,605","6,409","85,210","77,373","34,855","70,301","67,519","32,226","31,810","30,701","13,118",0,0,0,"13,995","11,424","5,338",0,0,0,"9,267","4,680","1,069","4,865","4,551","2,529","26,708","16,978","4,419",,,,,"40,686","17,603","25,411","36,802","50,965","69,608"
9036,"Roanoke County, Virginia!!Total!!Estimate","7,258","1,031","2,744","2,813",670,"67,287","1,808","2,791","15,874","15,158","7,556","15,369","8,731",,,"10,956","10,357","5,741","10,812","10,328","4,134","26,533","25,827","8,904","18,986","16,176","5,321","61,102","56,707","20,516","59,722","55,392","20,412","3,775","3,621","1,685",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"42,222","20,724","37,611","38,802","49,003","52,315"
9040,"Roanoke County, Virginia!!Males!!Estimate","3,487",563,"1,066","1,378",480,"31,965",972,"1,553","7,270","6,769","3,278","8,070","4,053",,,"5,857","5,612","2,954","5,230","4,834","1,725","12,612","12,037","4,167","8,266","6,957","3,277","28,465","26,055","10,092","27,985","25,575","10,092","1,996","1,931",685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"50,520","20,954","41,634","46,724","59,452","59,978"
